year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,20.0,0.0,20,20,7.0,0.0,7.0,7.0
8,20.0,0.0,20,20,8.0,0.0,8.0,8.0
9,22.3,1.4181364924121767,20,24,8.101863354037267,0.5267102718810371,7.5,9.0
10,25.7,2.668749186833079,22,29,7.943354920247724,0.7694791160565697,7.0,9.090909090909092
11,28.5,3.374742788552765,23,35,8.051048944010901,0.854275055457944,6.571428571428571,9.652173913043478
12,31.0,3.9157800414902435,26,40,8.291430492150656,0.8215625872182538,6.625,9.423076923076923
13,34.9,6.026792034094276,30,49,8.212022195145522,1.0141899276815487,6.224489795918367,9.225806451612904
14,38.3,7.439384681843281,31,56,8.398282438698711,1.1647353661577413,6.321428571428571,9.71875
15,41.4,7.244921593011817,33,57,8.59546153032253,1.063348701639124,7.192982456140351,10.393939393939394
16,43.2,6.285786435372356,37,58,9.03932956464118,0.6245863515862135,7.775862068965517,9.897435897435898
17,46.6,5.621387729022078,42,60,9.177072531056115,0.37935666925193795,8.416666666666666,9.659090909090908
18,49.0,4.898979485566356,45,60,9.54520827151659,0.3063991564364761,9.116666666666667,10.044444444444444
19,51.1,4.012480529547776,45,59,9.88623232745111,0.45649621036618476,9.229166666666666,10.75
20,53.4,3.777124126457411,48,60,10.222869994325803,0.5979004572383325,9.62,11.145454545454545
21,55.6,5.081557066709202,49,65,10.459650477326718,0.5851279419502547,9.88679245283019,11.408163265306122
22,59.1,6.04520011616195,51,72,10.479669716201464,0.5646154732842469,9.5,11.678571428571429
23,61.7,6.32543366980566,51,74,10.766920504745798,0.7090695519036296,9.45945945945946,12.033898305084746
24,64.7,6.799509786251751,51,77,11.030651142306839,0.505933180212718,10.051948051948052,11.852459016393443
25,69.2,8.107609594284453,58,81,10.953991655910329,0.7920284532279656,9.703703703703704,11.938461538461539
26,72.1,8.504247304860215,59,85,10.992989192226318,0.7944155229159582,9.905882352941177,12.402985074626866
27,76.1,8.211780156174015,64,88,10.943893372729125,0.6714232656485618,9.78125,11.948717948717949
28,80.5,10.793516572461453,63,94,10.978878425573694,0.6482410586553586,9.707692307692307,11.744186046511627
29,83.4,9.720539536923294,68,95,11.120460135652044,0.6937755403528609,10.088235294117647,11.931034482758621
30,88.1,10.15928693910705,69,99,11.0514541303191,0.43916098618277255,10.512820512820513,11.714285714285714
31,91.2,11.9703336999805,73,105,10.889382346279241,0.48154671882458333,9.951219512195122,11.728260869565217
32,82.2,11.564312920936256,64,98,8.267603309365779,0.4004320257840546,7.845360824742268,9.020408163265307
33,84.9,13.755402978870197,65,105,8.589901207357691,0.29624355255313,8.009803921568627,8.95945945945946
34,86.5,16.33843457753663,65,113,9.097657269509098,0.4364824887506709,8.360824742268042,9.657142857142857
35,88.9,17.829127229838754,70,119,9.443557265384294,0.4727651135574065,8.59,9.960526315789474
36,90.7,17.863992337163108,65,117,9.655977229813505,0.58234454732876,8.794871794871796,10.544303797468354
37,95.3,16.806414119482945,67,120,9.688428857874463,0.5453540109063857,9.018867924528301,10.738095238095237
38,98.8,16.42356031234803,72,126,9.671444708054857,0.4926449225403467,8.88888888888889,10.48314606741573
39,103.3,18.068081125442056,82,139,9.593287253670027,0.5895837876007417,8.511904761904763,10.450980392156863
40,106.4,18.733214708995718,87,140,9.59738059144273,0.5957457878760855,8.425287356321839,10.628571428571428
41,107.0,20.330600909302543,85,148,9.418307487684338,0.815336461276471,8.022988505747126,10.77450980392157
42,109.8,21.632280405809173,88,150,9.569883595321915,0.8163603133797896,8.596491228070175,11.188118811881187
43,113.0,22.355710182809624,89,155,9.453648580287219,0.7842245899645441,8.553398058252426,10.617977528089888
44,115.5,27.407419919917064,89,167,9.456499688402275,0.7628385187943905,8.505376344086022,10.887640449438202
45,118.2,27.165337390791887,93,169,9.35526100316894,0.6458915629595975,8.581632653061224,10.445454545454545
46,120.6,30.18167214276461,88,173,9.476790933672797,0.5838164933855146,8.224489795918368,10.186813186813186
47,123.2,31.807755867607728,86,182,9.51900641928746,0.6440149057537711,8.692307692307692,10.777777777777779
48,126.7,32.75515226647558,87,180,9.40143068046383,0.6638508895360987,8.571428571428571,11.0
49,131.4,32.74548314907975,89,183,9.386023857779382,0.689483806561738,8.64864864864865,11.07865168539326
50,135.9,34.19372911969549,91,194,9.155521209069088,0.6714452780819088,8.49090909090909,10.648351648351648
51,139.9,36.84336213394935,92,203,9.108644428689642,0.64369102307002,8.246153846153845,10.630434782608695
52,142.9,39.15340200913439,91,209,9.237599244546724,0.48447867260502064,8.544776119402986,10.241758241758241
53,146.9,39.74488087232814,95,214,9.05787114459753,0.48075863170064653,8.345323741007194,9.673076923076923
54,149.0,41.793141383086606,97,227,9.126432102241747,0.42460637074811536,8.567375886524824,9.66891891891892
55,152.5,44.78901154921323,102,241,9.244229215715698,0.30085269029868605,8.83974358974359,9.911764705882353
56,155.0,42.93664583494565,105,237,9.189215581879386,0.35592966437791246,8.581920903954803,9.761904761904763
57,160.9,42.777070701227046,113,233,9.10497803954539,0.3701421594091964,8.673469387755102,9.876106194690266
58,161.9,42.4616166542077,113,238,8.994696223798176,0.48552044643968933,8.45945945945946,10.008771929824562
59,166.6,46.23899268414532,110,254,9.016485445903966,0.4444600335134756,8.56953642384106,10.081818181818182
60,170.8,49.93729401292518,111,261,8.88818503116256,0.3521444417001398,8.546448087431694,9.792792792792794
61,173.1,50.53810443615786,112,267,8.720981941671713,0.38701152994383314,8.13013698630137,9.220973782771535
62,176.5,51.98130005641986,113,268,8.612358272008285,0.4226177064715355,7.874251497005988,9.097345132743364
63,178.9,52.76457144713676,118,270,8.582162501989655,0.4446491802757466,7.746913580246914,9.211340206185566
64,182.1,56.5222669986499,116,284,8.706764612666701,0.4002058247827091,7.922155688622754,9.16931216931217
65,183.9,56.23452873655315,117,281,8.748899709411141,0.4005528467345515,8.0,9.306010928961749
66,188.1,56.16730959078125,121,284,8.80488610320272,0.4132041643006106,8.082417582417582,9.476190476190476
