year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,20.0,0.0,20,20,7.0,0.0,7.0,7.0
8,20.0,0.0,20,20,8.0,0.0,8.0,8.0
9,23.3,1.494434118097326,21,26,7.712731181861616,0.4686278043377039,6.923076923076923,8.571428571428571
10,26.5,2.368778400591983,24,30,7.6863237337375265,0.6156415335037004,6.833333333333333,8.458333333333334
11,29.5,3.341656275960572,24,34,7.842365281777046,0.8373518635735075,6.911764705882353,9.458333333333334
12,32.3,4.945255863507523,25,42,8.095487872055823,1.0042416361228454,6.404761904761905,10.04
13,34.7,5.558776843874915,26,44,8.339182800981735,1.0957333164772884,7.068181818181818,10.615384615384615
14,38.1,5.152130088074683,29,47,8.41763182642126,0.7686785111577692,7.363636363636363,9.931034482758621
15,40.2,4.565571644870382,32,47,8.832108293091327,0.7894443483646294,8.0,10.135135135135135
16,44.0,5.374838498865699,34,52,8.88931556699025,0.8820622591428763,7.914893617021277,10.564102564102564
17,45.8,6.528569691917383,34,55,9.355334543828572,1.0440241906502399,8.4,11.564102564102564
18,48.5,6.916164640415477,37,57,9.695858405898411,1.0264244369661348,8.285714285714286,11.666666666666666
19,50.8,7.254117604658903,39,62,9.930733675357295,1.0411107196465397,8.258064516129032,11.565217391304348
20,53.9,6.773313648265358,44,64,10.039059500085294,0.6629215627122442,8.96875,10.941176470588236
21,56.7,7.349225204816567,45,66,10.370107065816885,0.7496861010729946,9.287878787878787,11.304347826086957
22,58.3,5.6774407379851475,48,66,10.680119492102454,0.6796717401476656,9.672413793103448,11.839285714285714
23,61.6,6.4670103001481465,51,72,10.769493692054494,0.7195266421295575,9.933333333333334,11.983333333333333
24,65.0,6.798692684790382,54,74,10.831505124979287,0.7378040025464702,9.904761904761905,12.365079365079366
25,68.8,6.828046735503662,58,78,10.681670612005714,0.6471275247799961,9.720588235294118,11.741379310344827
26,71.4,7.618690467819548,61,84,10.913936574609881,0.7294944583809905,10.011904761904763,12.114754098360656
27,74.5,9.69822435065077,63,89,10.857823100925867,0.9920684160340318,9.72289156626506,12.476923076923077
28,76.4,10.71032731111011,61,92,10.897358648165376,0.8550055898280909,9.932584269662922,12.876923076923077
29,80.9,13.411852138231236,63,103,10.836766520913718,0.9141481233953042,9.742268041237113,12.971014492753623
30,82.8,13.0877381120226,66,104,10.78364897889746,0.4721911184788924,10.244897959183673,11.64
31,85.2,13.612086132877977,67,106,10.697182966648388,0.5595834759902787,10.0,11.60759493670886
32,76.1,12.591443302673623,59,96,8.159106375375895,0.3795201627833585,7.545454545454546,8.94915254237288
33,78.3,12.614365708279674,60,97,8.392563679641109,0.3252119469653959,7.8933333333333335,9.0
34,81.0,14.981470036162822,58,101,8.582541796530991,0.4315125685239556,7.97,9.310344827586206
35,83.6,15.108496505829645,57,109,8.741551404685769,0.4495872248041552,7.989583333333333,9.385321100917432
36,85.5,16.022553548739417,56,111,8.972738746265915,0.4796083253851705,8.088235294117647,9.466666666666667
37,87.8,18.24402489705724,56,117,9.327700517961125,0.6054622241534552,8.247706422018348,10.246913580246913
38,91.5,18.590618900701266,57,119,9.317794992801156,0.7505716557899094,7.963302752293578,10.731707317073171
39,92.3,19.482470753645874,57,120,9.584098038462963,0.8114679725907458,8.1,11.14102564102564
40,93.5,21.52130727132222,54,127,9.568852437106283,0.634805601032967,8.45045045045045,10.935897435897436
41,94.2,21.138695429104523,56,126,9.578643269124445,0.7982255965559913,8.652173913043478,11.325
42,95.6,21.16706036379271,58,125,9.468246206421536,0.8016192055987033,8.402597402597403,11.197530864197532
43,98.1,22.193342345046734,60,131,9.406842966226888,0.8274017590878631,7.963414634146342,11.12987012987013
44,99.6,21.654868582684436,63,137,9.160089544627791,0.717004187305627,7.294736842105263,9.897435897435898
45,99.7,21.161022869627285,64,136,9.2378524467244,0.7855908566159877,7.4361702127659575,10.203125
46,99.9,21.455121118796374,61,139,9.369476721237994,0.6938523385690043,8.229166666666666,10.629213483146067
47,100.4,22.78986129351773,64,148,9.434418736962257,0.6639192224548851,8.099009900990099,10.658823529411764
48,100.4,23.12382129128123,63,146,9.251279987015407,0.5903249283995678,8.410526315789474,10.512195121951219
49,101.0,26.11087470342152,61,152,9.233610106757448,0.7531646084718499,8.254545454545454,10.776315789473685
50,102.6,26.61745459071714,65,154,9.214096285103418,0.8276055391870559,8.104347826086956,11.052631578947368
51,101.8,26.964173761987716,69,156,9.017443008574583,0.832793069244965,7.991525423728813,10.635135135135135
52,100.5,26.525668909777014,69,153,9.17135004331308,0.6619688363012568,8.210084033613445,10.534246575342467
53,102.0,25.337718918639855,69,147,9.180442312402823,0.6891992322158789,8.072463768115941,10.16842105263158
54,100.9,25.42286809591361,68,146,9.236485788818959,0.584059200117671,8.485294117647058,10.126315789473685
55,100.4,25.408659941051596,67,144,9.123897534277992,0.4098120944407555,8.4,9.745283018867925
56,100.6,25.2947073954656,69,147,8.821511725023488,0.3140801632991166,8.193181818181818,9.205479452054794
57,101.2,23.11228629490769,70,144,8.813104829665964,0.3573090158940864,8.185714285714285,9.36111111111111
58,101.7,22.499629626581264,71,145,8.702047663227457,0.35522629707496134,8.191011235955056,9.257142857142858
59,103.1,20.11329024412576,75,134,8.67449928400324,0.43337592969458016,8.056451612903226,9.345679012345679
60,101.6,21.42791533387127,74,138,8.647943051444162,0.4705311918954383,7.831932773109243,9.19811320754717
61,100.1,21.890891053383623,75,142,8.633932865807601,0.4590828351701964,8.070422535211268,9.439024390243903
62,100.9,19.70589308359868,78,140,8.682347922736893,0.46037328053595356,7.975903614457831,9.461538461538462
63,100.8,21.33229164123411,73,142,8.566294901703674,0.45731594330165776,7.614457831325301,9.233009708737864
64,101.4,22.711719930956843,74,143,8.503060646704613,0.6451468706524885,7.48695652173913,9.323809523809524
65,101.3,22.87672276451425,76,142,8.5068620165252,0.5406001900616849,7.620253164556962,9.173076923076923
66,101.4,22.495431634988567,76,141,8.506988694210676,0.41885765074491627,7.734177215189874,9.075949367088608
