year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,20.0,0.0,20,20,7.0,0.0,7.0,7.0
8,19.9,0.3162277660168377,19,20,8.0,0.0,8.0,8.0
9,22.5,1.35400640077266,21,25,7.8189553924336535,0.396210300139204,7.2,8.571428571428571
10,25.9,2.282785822435191,23,30,7.6905923149536335,0.6075987563471045,6.620689655172414,8.347826086956522
11,30.6,3.134042472944841,25,36,7.3748061583483295,0.6573577132988088,6.527777777777778,8.6
12,34.1,3.5418137224371984,30,42,7.445789823914824,0.5968753927661695,6.166666666666667,8.0625
13,37.1,4.2282121254470875,31,46,7.634043734226887,0.6866329259492991,6.543478260869565,8.411764705882353
14,40.6,4.903513479582213,32,50,7.867692951192952,0.6987099739138372,6.94,9.0
15,44.0,4.570436400267363,37,54,8.11992412029204,0.4233395552053672,7.351851851851852,8.64864864864865
16,47.2,4.962078417580906,39,55,8.49329786155873,0.45181361662101505,7.6923076923076925,9.153846153846153
17,50.3,5.334374898294603,42,57,8.764399408915086,0.5277336894951754,7.9298245614035086,9.428571428571429
18,53.7,5.793674711844519,46,65,8.972398823422598,0.4297047096838996,8.423076923076923,9.64
19,56.6,6.619835513230084,46,67,9.216812683276018,0.5483402616448168,8.389830508474576,9.962264150943396
20,61.4,9.766154707855993,47,79,9.327408696180733,0.6704976130476274,8.393939393939394,10.446808510638299
21,65.2,10.819735055289787,50,84,9.3371394556555,0.5757657539826637,8.632352941176471,10.34
22,70.0,10.923979738782624,54,88,9.29304866047553,0.6075299410847578,8.295774647887324,10.296296296296296
23,74.2,10.47536793307678,58,92,9.34279234241134,0.5299290547458615,8.272727272727273,10.014925373134329
24,77.6,11.462014560179979,57,96,9.54849328984805,0.6104372176543315,8.691358024691358,10.649122807017545
25,81.6,14.19076381939245,60,105,9.615895574762348,0.6105489822649294,8.759493670886076,10.85
26,86.3,16.600200801998355,64,118,9.572629017004893,0.3843424029736401,8.783132530120483,10.073529411764707
27,92.0,18.165902124584953,69,126,9.679267340980445,0.4689378185930155,8.772727272727273,10.507042253521126
28,96.1,20.43662289996945,70,135,9.761123359316823,0.44537266807907927,9.088888888888889,10.329787234042554
29,100.9,20.70131504142779,74,138,9.640297276623084,0.4017960849306406,9.166666666666666,10.520408163265307
30,106.4,21.649736975564185,78,146,9.56409657259607,0.33510402206252565,9.205479452054794,10.242990654205608
31,112.5,22.381788231605725,83,156,9.47678865770268,0.46937705036982774,8.83974358974359,10.274336283185841
32,106.8,19.959959919799438,76,145,7.572901656652009,0.417450237123177,6.961538461538462,8.282442748091603
33,111.0,20.038851153585515,77,148,7.7386368670574965,0.42992523616891815,7.18,8.373134328358208
34,115.5,19.426499656111204,80,146,7.931960236604061,0.49765646352780807,7.194444444444445,8.616071428571429
35,120.9,23.263944444378108,83,159,7.994621480021641,0.5537555747751312,7.08256880733945,8.655462184873949
36,126.8,27.247018185482244,84,172,8.065938338908243,0.5469738317739907,7.319767441860465,9.119047619047619
37,131.6,26.629974756945526,94,183,8.188153932375013,0.5501306320067274,7.502732240437158,9.042553191489361
38,137.1,28.69165577500035,96,189,8.284028869271244,0.499495540285043,7.420634920634921,9.229166666666666
39,142.5,30.707400483343502,103,195,8.341369773738627,0.5583725590049234,7.1893939393939394,9.048543689320388
40,146.9,32.305658259127846,111,199,8.527820754805632,0.5443981016563185,7.5036496350364965,9.2
41,150.4,35.12896873585168,109,204,8.55423153640749,0.5605446552270367,7.659722222222222,9.487179487179487
42,156.7,35.26424062228856,113,210,8.42180929362916,0.5889927010347411,7.4144736842105265,9.213740458015268
43,158.4,36.12386099703814,109,209,8.488644487773565,0.6001019559304855,7.725,9.363636363636363
44,161.7,35.386909067243124,114,218,8.430500025841285,0.5334038779097429,7.654320987654321,9.609756097560975
45,166.0,35.05868096650401,118,226,8.40607248067027,0.36070846132860906,7.814569536423841,9.142857142857142
46,169.6,35.82116072317527,118,230,8.42754376495199,0.33727033993520017,7.943037974683544,8.813559322033898
47,174.7,38.23625388438452,115,239,8.443117854063596,0.32988073847993266,7.947368421052632,8.87192118226601
48,179.2,41.80058479123096,115,258,8.391303602265117,0.3023445618312798,7.993150684931507,8.878048780487806
49,184.8,45.04269579459521,125,276,8.311544106161652,0.34785102961042985,7.834482758620689,8.985645933014354
50,188.9,44.727446209731724,139,282,8.188003033739976,0.39225905234292857,7.625899280575539,8.836363636363636
51,191.3,46.18814181631953,136,287,8.152955406739464,0.2545214182668817,7.730994152046784,8.67094017094017
52,194.8,49.03014945475442,134,292,8.065571161144243,0.1772020841753787,7.772455089820359,8.357142857142858
53,199.2,52.10843395160604,134,300,7.998262424110334,0.14250494412255305,7.844311377245509,8.304347826086957
54,204.3,56.37188030293906,140,315,7.919883977601981,0.19986395093225956,7.6,8.127906976744185
55,206.5,59.71832028597068,137,317,7.968750687140464,0.21083045425441876,7.666666666666667,8.387096774193548
56,208.8,55.93011512394533,139,301,8.000017550243744,0.3291575502821751,7.572327044025157,8.487654320987655
57,209.2,57.10769553124071,141,307,8.077456082689762,0.40442008282235514,7.55700325732899,8.884848484848485
58,213.1,58.852829630830456,149,319,8.030697219617437,0.3931569147904012,7.614420062695925,8.957831325301205
59,216.0,57.10419326887377,155,314,7.974698766067284,0.14598994575141405,7.786290322580645,8.26063829787234
60,219.3,58.42763805673552,155,317,8.183319913541983,0.2267322432670529,7.908536585365853,8.60344827586207
61,222.2,58.97230988636391,161,310,8.0441258726981,0.16145219944318984,7.807453416149069,8.255952380952381
62,223.7,57.49405766395921,165,314,7.88243748559262,0.23419765259150196,7.508982035928144,8.384615384615385
63,228.3,62.34678999132371,165,330,7.898690730541451,0.38737922735440716,7.2020725388601035,8.539370078740157
64,230.1,64.43506636745072,160,339,7.923485166950863,0.30291411943302904,7.44559585492228,8.546875
65,229.9,61.36493750958731,161,337,7.900221897129947,0.41178903341911927,7.3106060606060606,8.803149606299213
66,234.8,62.04801008538111,165,336,7.911136464652581,0.5293269098015069,7.228782287822878,8.817829457364342
