year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,19.9,0.3162277660168379,19,20,7.0,0.0,7.0,7.0
8,19.9,0.3162277660168379,19,20,8.0,0.0,8.0,8.0
9,24.3,2.4060109910158114,21,28,7.428671328671328,0.6600419332416476,6.428571428571429,8.181818181818182
10,28.2,3.224903099319419,24,34,7.121748839237928,0.8826702310911657,5.529411764705882,8.416666666666666
11,33.5,4.352521619066866,26,42,6.8134372082166195,0.722405137620049,5.285714285714286,8.0
12,36.6,5.2746774519606605,25,44,7.1169935131947515,0.9280771816917137,6.0,9.24
13,41.2,7.3303024039485125,25,55,7.221567897015265,0.9976859730644357,5.6,9.56
14,43.7,7.6890976208019515,26,55,7.576139200629191,0.8548581776694412,6.6,9.615384615384615
15,46.2,8.230026326405849,27,55,7.938637150610307,0.8113136289367241,6.8076923076923075,9.666666666666666
16,48.5,9.629237883769525,26,60,8.408387254255178,1.0393131651489185,6.766666666666667,10.461538461538462
17,51.7,9.61538119658059,28,61,8.652298682450413,0.9276371689400186,7.160714285714286,10.642857142857142
18,56.0,9.153020145163989,37,66,8.594203306375672,0.4732719426358296,7.9818181818181815,9.381818181818181
19,58.3,10.220350070107948,38,73,8.867256339314537,0.43697391349846026,8.06060606060606,9.451612903225806
20,62.5,8.897565210026093,45,75,8.849915105792022,0.6778327443649926,7.844444444444444,10.125
21,67.9,8.359292899389148,51,82,8.745056565393273,0.7972558675368577,7.803921568627451,10.447761194029852
22,70.5,9.371943946339698,55,89,8.952279182330964,0.8235317525367462,7.752808988764045,10.183098591549296
23,73.6,10.035492569431314,55,94,9.193707896213024,0.9341099459070032,7.840425531914893,10.819444444444445
24,80.5,12.131226923385228,58,103,9.067454966314456,0.8884762756317547,7.422535211267606,10.576923076923077
25,85.6,13.276545735494103,63,108,9.080625849376425,0.7488869993835235,7.573333333333333,10.23943661971831
26,88.5,15.615163570495614,67,117,9.202551868158531,0.7695688356029035,8.205479452054794,10.753623188405797
27,95.0,16.309506430300093,74,125,8.844906899816545,0.8111426048814137,7.654545454545454,9.973333333333333
28,99.2,18.884443921445563,75,132,8.84678822272581,0.7771917939200584,7.708333333333333,10.373333333333333
29,104.3,19.45393419222846,76,140,8.818435725406818,0.8249632617506512,7.582417582417582,10.06578947368421
30,106.5,22.177315737783356,76,147,8.838749117130504,0.7201418900121038,7.895161290322581,10.092105263157896
31,111.0,26.2382248722059,78,164,8.933676015409986,0.7784581140529213,8.03125,10.5375
32,107.3,27.370097227124024,74,165,7.732082212289923,0.37919525795207376,7.36,8.676767676767676
33,112.6,30.714455518172183,79,180,7.831826447487288,0.40781671439455297,7.188888888888889,8.505154639175258
34,119.3,32.0452804637438,80,184,7.875941930986587,0.4100111500590202,7.383561643835616,8.701923076923077
35,126.0,33.69141004931541,85,191,7.780577159069511,0.33101460320046805,7.449612403100775,8.607843137254902
36,127.6,34.615988598719326,81,197,7.9611412269005,0.36101032147134987,7.413793103448276,8.785046728971963
37,133.4,39.72181040967572,80,215,8.03594329037469,0.5941807558158017,7.163934426229508,8.8
38,136.4,38.49733035477193,84,211,8.142808015728445,0.5175365960431563,7.415384615384616,8.981132075471699
39,138.2,38.93527392423938,87,213,8.258818496709097,0.49008219844507594,7.180451127819549,9.036363636363637
40,140.6,41.727156092352566,87,223,8.142537199734464,0.5885994375517909,7.05511811023622,8.808695652173913
41,144.9,41.307653312942165,92,220,8.054237302692794,0.6550467791665716,7.0583941605839415,8.866666666666667
42,147.0,38.029228525204424,99,222,8.014670829560481,0.6495448743000706,7.098591549295775,8.952830188679245
43,150.6,42.5054244904237,90,242,7.894031015907832,0.5742441682021607,6.957142857142857,8.734513274336283
44,155.2,41.80058479123096,101,247,7.836041286727547,0.30213130629103707,7.297872340425532,8.178137651821862
45,160.0,44.9493542161002,91,261,7.795227878804835,0.3666273010465169,7.1610738255033555,8.406593406593407
46,163.1,45.60811331331302,91,264,7.677360477954522,0.3973185551598027,7.046052631578948,8.502645502645503
47,168.8,50.558656803536415,93,285,7.715675365135608,0.5278921932230658,7.037037037037037,8.53763440860215
48,170.3,51.9423826091094,93,287,7.682695017401261,0.5051226762620403,7.079470198675497,8.432
49,173.3,55.825223291587065,93,303,7.805657800625352,0.5312743021159968,7.0625,8.666666666666666
50,177.2,53.23490918143428,96,294,7.7772123750605715,0.7119446350982797,6.938202247191011,9.0
51,180.3,52.04282424653331,100,291,7.736916713325185,0.5263279350918303,6.929347826086956,8.393103448275863
52,183.2,52.61981038016428,100,295,7.797650814651947,0.5460683183055897,6.989528795811518,8.655172413793103
53,183.1,50.39940475838976,113,293,7.794611112674799,0.49322907433844065,7.229946524064171,8.73611111111111
54,184.6,49.93595898748717,112,292,7.7522949254768845,0.42762870929014735,6.892857142857143,8.253424657534246
55,191.1,53.175704560969905,112,314,7.566178235584386,0.482539750995212,6.612903225806452,8.04
56,193.1,52.7919396204467,111,312,7.55370651817509,0.46499517483770003,6.814814814814815,8.0990990990991
57,198.2,53.029970561728376,122,319,7.591009817170862,0.5234575273013278,6.454148471615721,8.141463414634146
58,202.0,55.06763518115196,128,325,7.5295102551534825,0.41255875214900867,6.685840707964601,8.193103448275862
59,203.5,59.13121003328107,127,335,7.58927346663707,0.4236375444238577,6.797520661157025,8.266187050359711
60,205.0,59.323969298533406,121,336,7.515447380173191,0.2685778080762571,7.0125,7.828125
61,208.4,57.43247242535262,133,326,7.497039994285386,0.3298166772503925,6.870292887029288,7.867647058823529
62,210.9,56.69107317539313,136,323,7.477393377416135,0.3075450160154749,7.061728395061729,7.891640866873065
63,213.6,57.13181639370873,143,323,7.555377475017589,0.3238187621788638,7.107569721115538,8.041958041958042
64,215.5,60.599321595029245,134,334,7.580373371327857,0.3666117906307678,7.113207547169812,8.15032679738562
65,222.2,66.40916938027291,126,341,7.514824307287045,0.5042321976972634,6.89922480620155,8.292207792207792
66,223.7,61.452872638759175,135,335,7.3843102799151605,0.3842919166564108,6.876237623762377,8.024539877300613
