year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,20.0,0.0,20,20,7.0,0.0,7.0,7.0
8,20.0,0.0,20,20,8.0,0.0,8.0,8.0
9,24.7,1.766981104093143,22,28,7.245570733614213,0.5408682437698358,6.428571428571429,8.181818181818182
10,30.3,4.877385456255111,24,39,6.798276634585458,0.9964885773342759,5.282051282051282,8.416666666666666
11,37.3,7.789594198530356,28,49,6.355168249208729,1.0604353871878802,5.0,7.862068965517241
12,39.9,7.823753006780767,28,50,6.866688199720459,1.016577220737724,5.72,8.5
13,42.6,9.524238085595671,30,59,7.2771561241324125,1.2261868958038595,5.796610169491525,9.290322580645162
14,45.7,9.832485839185214,32,61,7.667346795745819,1.0917193128649436,6.4,9.666666666666666
15,49.8,10.881176406988356,34,68,7.841825065301689,1.0478460988303762,6.529411764705882,9.911764705882353
16,54.5,12.420860589257806,36,74,8.031168143943075,1.1079743919456169,6.702702702702703,10.305555555555555
17,59.7,13.191327117129312,40,82,8.12735256784524,0.7600781014545783,6.939024390243903,9.25
18,63.3,14.810281713878519,41,90,8.355309046308175,0.7696647122887754,7.233333333333333,9.560975609756097
19,68.0,14.212670403551895,43,92,8.528383027776588,0.6602505659290838,7.8307692307692305,10.069767441860465
20,71.6,16.167182122366835,43,97,8.623903888103548,0.8453213684726583,7.88421052631579,10.674418604651162
21,77.2,17.2999678869323,45,104,8.589951005789953,0.8599571811510921,7.6976744186046515,10.466666666666667
22,82.9,19.90226117806718,47,114,8.666272977711651,1.090807701313154,7.454545454545454,10.97872340425532
23,84.3,20.182775935050273,51,115,8.921462468474418,1.0193050616813002,7.701030927835052,11.03921568627451
24,90.3,20.83293332949326,54,125,8.884802336766423,1.0049656230202921,8.010416666666666,10.722222222222221
25,96.0,20.308728282303754,59,133,8.654643739831464,0.6446991676828949,7.934579439252336,10.066666666666666
26,103.0,25.197001585285676,61,155,8.509478879269192,0.7113616467886457,7.764150943396227,9.885245901639344
27,110.3,30.455979161187162,61,173,8.45473030874265,0.8888320752623975,7.364161849710983,10.0
28,117.8,34.91831738341481,70,190,8.235945772592618,0.9692796141048458,7.253968253968254,10.228571428571428
29,123.3,37.285832877023594,74,206,8.170298489458363,0.8480956070655425,6.787234042553192,9.606382978723405
30,129.7,40.35412687143108,74,219,8.205114214957728,0.7362622794696194,7.1187214611872145,9.586538461538462
31,137.0,40.72945971761581,78,222,8.080593780446602,0.7170764456189219,7.427927927927928,9.387387387387387
32,135.6,42.48450697999605,70,222,7.028055223723742,0.17519437820389513,6.716216216216216,7.214285714285714
33,141.9,44.530763398900866,73,234,7.23742574815014,0.2957653950513242,6.7687074829931975,7.739726027397261
34,146.7,44.9074356624577,75,235,7.4195235493994245,0.43134944551108,6.804195804195804,8.164556962025317
35,150.3,45.095084728456456,77,234,7.716819355294693,0.3712307708575557,7.258426966292135,8.346666666666666
36,157.6,49.52485346885048,73,251,7.669589100246268,0.45878216832853597,7.224242424242425,8.383561643835616
37,163.5,51.043010186399556,82,254,7.588139307773977,0.5266943811747122,6.912621359223301,8.24390243902439
38,169.4,52.09649167117153,88,267,7.730064347330017,0.3768547134043475,7.337142857142857,8.394557823129253
39,176.7,55.50185182095779,92,275,7.653192418444382,0.5196002977456564,7.021505376344086,8.732876712328768
40,182.2,52.4421374257169,103,272,7.5519005754486965,0.3723223798245946,6.994736842105263,8.251572327044025
41,184.1,56.32337190032413,106,283,7.6449934635255,0.27282966051376406,7.255725190839694,8.024793388429751
42,191.8,57.69421307394895,116,291,7.456986810046159,0.30966432779919234,7.043103448275862,8.018072289156626
43,194.6,57.34340996720256,112,286,7.5123352771468035,0.41849840394304794,6.905579399141631,8.196078431372548
44,198.3,58.89736836226216,111,291,7.552153784533786,0.4847062781764998,6.7384615384615385,8.384615384615385
45,204.2,56.61919580260156,116,298,7.543866014982863,0.5447164063709062,6.54074074074074,8.436274509803921
46,208.4,60.59922991809935,112,308,7.520396834313226,0.5874433431714052,6.897119341563786,8.801020408163266
47,209.6,59.59903056631411,115,305,7.623149293798607,0.6922577417302437,7.0,8.8
48,213.3,57.463128274669415,121,307,7.456552491591945,0.6726439630198593,6.453608247422681,8.579710144927537
49,215.2,61.038785483767064,122,321,7.467937931203368,0.6411562165636201,6.624365482233503,8.87704918032787
50,219.4,60.190807714578256,124,318,7.523590363758143,0.5704772272943751,6.822966507177034,8.774193548387096
51,224.1,62.773756016702116,131,317,7.511939822121738,0.6240770418248576,6.4104803493449785,8.549618320610687
52,229.9,61.7530026260532,135,321,7.468466831001827,0.5303128811260152,6.495833333333334,8.185022026431717
53,232.1,62.5023555111681,131,331,7.419004951233342,0.4972580660359272,6.51984126984127,7.987603305785124
54,238.8,68.67928686616106,131,347,7.3684052068221835,0.38689699571761443,6.651296829971182,7.786259541984733
55,244.2,74.40250891827058,129,358,7.322782073646802,0.4224478484219123,6.720670391061453,7.994974874371859
56,245.7,75.33045717223398,120,355,7.3090690608855455,0.42062106262812526,6.755474452554744,7.885906040268456
57,249.0,74.49981357172797,119,356,7.204875732107683,0.3168271959332846,6.827838827838828,7.912
58,255.5,79.89055012953659,119,379,7.101383410155312,0.37647298486153485,6.658273381294964,7.712550607287449
59,260.2,82.46992717887466,115,386,7.124519369253042,0.3017486404738185,6.738341968911917,7.708171206225681
60,264.5,82.6938799293985,120,388,6.999400342249075,0.22775325292932178,6.680412371134021,7.429133858267717
61,265.2,85.1571097051405,119,407,7.087443430590231,0.2007329578925789,6.796068796068796,7.427710843373494
62,265.9,85.8078602978124,113,413,7.123642488383,0.261138387398055,6.783269961977187,7.607142857142857
63,273.4,90.15443539960872,107,429,7.027020497943738,0.21764648231700856,6.588785046728972,7.323420074349443
64,278.1,93.3612458262111,102,442,7.08078393891204,0.33580257926707585,6.613333333333333,7.577358490566038
65,277.9,93.12053121268872,98,430,7.055119873773222,0.34472860604415867,6.5893719806763285,7.634408602150538
66,278.3,91.95294690462315,87,423,6.978312477367853,0.2803413356937241,6.488262910798122,7.545454545454546
