year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,19.8,0.6324555320336758,18,20,3.0,0.0,3.0,3.0
4,19.5,0.97182531580755,17,20,4.0,0.0,4.0,4.0
5,19.3,1.0593499054713804,17,20,5.0,0.0,5.0,5.0
6,18.9,1.1972189997378642,17,20,6.0,0.0,6.0,6.0
7,18.8,1.3984117975602022,16,20,7.0,0.0,7.0,7.0
8,18.6,1.4298407059684815,16,20,8.0,0.0,8.0,8.0
9,23.6,3.0623157540948944,19,28,6.884789037811922,0.6291768715935186,6.0,8.052631578947368
10,28.3,5.716448003592596,21,42,6.569006182520619,0.9679261149041889,4.738095238095238,7.76
11,33.5,6.433419688539595,23,46,6.29979507469112,0.8738687986705816,5.239130434782608,7.608695652173913
12,38.1,6.789698078707183,25,48,6.14855545081632,0.743836763710696,4.956521739130435,7.515151515151516
13,40.2,5.2451035367389185,33,51,6.491119429286324,0.5944418349977331,5.636363636363637,7.444444444444445
14,44.6,4.6475800154488995,38,53,6.403358203295623,0.7833694409625672,4.975609756097561,7.2894736842105265
15,48.9,7.324995259763349,37,62,6.525284717403187,0.9695612994963764,5.096774193548387,8.069767441860465
16,50.2,6.494442068244029,42,64,6.936328784437502,0.9428268922043885,5.787234042553192,9.142857142857142
17,50.7,5.888784066153026,42,62,7.378688159457555,0.586097507746538,6.333333333333333,8.166666666666666
18,51.0,7.916228058025278,41,66,7.711828103582109,0.7985689910034631,6.966101694915254,9.377777777777778
19,53.5,9.082951062292475,44,71,7.803370303455495,0.8343145897111803,7.036363636363636,9.704545454545455
20,54.5,10.522462745109733,41,71,8.10853935859959,0.8348956491798984,7.235294117647059,10.181818181818182
21,57.9,9.492101980067428,43,71,8.054215611275417,0.9812438465805354,6.25,10.02127659574468
22,61.1,10.805862606320083,45,75,7.7962837659425315,0.8925664111921008,6.258620689655173,9.612244897959183
23,64.6,9.299940262651631,51,76,7.88911047941551,0.6694276099112731,6.317460317460317,8.925925925925926
24,65.1,9.620002310002032,51,84,7.846736445940929,0.8284305782519574,5.96969696969697,9.267857142857142
25,63.9,10.908202825804482,48,85,7.9971348138741645,0.5095143176529908,7.0,9.068965517241379
26,65.3,10.551987701113209,45,77,7.817784077842606,0.4311830827219965,7.027397260273973,8.493150684931507
27,67.2,9.101892355133874,52,84,7.751462811994519,0.7125747538960278,6.866666666666666,9.220588235294118
28,70.1,9.746224340168293,51,85,7.729802121329516,0.6924599434980397,7.015384615384615,9.28169014084507
29,72.8,11.942454614618482,50,90,7.705983708327106,0.913635401415548,6.5131578947368425,9.756756756756756
30,75.7,12.824022596500505,49,92,7.5816554466321575,0.6380602795936671,6.592105263157895,8.931506849315069
31,78.9,14.82827629152417,50,100,7.683015874243611,0.5981345078668459,6.682926829268292,8.444444444444445
32,78.1,16.01700485248239,52,99,6.850347880928604,0.48655536735047705,6.0,7.698630136986301
33,78.8,16.658664745744513,51,99,7.08762799793063,0.5467672726492144,6.202020202020202,7.882352941176471
34,79.5,18.939963627795652,52,102,7.2691978118733305,0.7404712687505568,6.19,8.615384615384615
35,79.2,20.82626546775329,48,106,7.55075412020579,0.9601139990324883,6.169811320754717,9.541666666666666
36,80.3,22.544030991225448,45,105,7.61196358622082,1.0734719288616585,6.436893203883495,9.933333333333334
37,81.1,23.43999431171717,41,105,7.652898747086046,1.0529622368833378,6.614457831325301,9.707317073170731
38,84.3,23.64576541840467,45,114,7.578522254100084,0.7332404469649629,6.569767441860465,9.155555555555555
39,83.8,23.436912955611046,43,109,7.651291726542714,0.5979460017560788,6.858823529411764,8.934782608695652
40,85.5,25.290534021865,43,112,7.3690163019347725,0.561165418706559,6.301204819277109,8.444444444444445
41,90.9,26.91736325208033,46,124,6.9509641204234445,0.41683513150593926,6.333333333333333,7.469135802469136
42,92.7,26.42830973701412,50,127,6.925312116552298,0.3739555600905029,6.090909090909091,7.446428571428571
43,92.4,23.24841691145633,58,127,6.8687397493321285,0.40586310842650475,6.258620689655173,7.454545454545454
44,91.9,25.523192067869047,52,127,6.951403608520442,0.568818924019583,5.846153846153846,8.134146341463415
45,91.0,25.2938288477205,52,129,7.108841226527936,0.47027543736075805,6.51937984496124,8.04225352112676
46,90.8,25.80611469314115,57,131,7.17819397799759,0.5504822747554412,6.631578947368421,8.545454545454545
47,92.0,27.284509239574835,54,135,7.100099347896505,0.5282888787777867,6.483333333333333,8.064102564102564
48,91.1,26.68936533944227,49,130,7.1533849775408855,0.630095411441605,6.28125,8.081967213114755
49,89.3,27.733052883197377,42,120,7.055265074559996,0.6010330470533872,6.096774193548387,8.109756097560975
50,93.8,29.184470756437115,45,130,6.901007540204866,0.6138585071661038,6.074766355140187,7.863247863247863
51,93.5,29.5606720717465,44,143,6.88987265418257,0.6274373882891061,6.083916083916084,8.238532110091743
52,92.9,28.309597901300776,52,141,6.762749405866546,0.42180697764721775,6.297872340425532,7.490909090909091
53,93.5,30.30676492138348,47,141,6.832292444349319,0.495183738962501,6.326241134751773,7.730769230769231
54,92.9,31.40576734012755,47,138,7.065694155605641,0.5985293725185442,6.615942028985507,8.416666666666666
55,91.5,31.213423038458597,44,131,7.095732388150087,0.8241653001521718,6.22,9.045454545454545
56,95.1,32.60691814801134,47,144,7.033128581164642,0.8543189353851648,5.754716981132075,8.787234042553191
57,93.4,32.884308990425474,48,148,7.031762299422027,0.8439117615297559,6.040816326530612,8.791666666666666
58,91.6,32.86741040402585,45,150,7.161734142743138,0.959468261196346,5.823529411764706,9.088888888888889
59,91.5,32.60282877979217,42,146,7.074586730219124,0.8678851307507536,5.7272727272727275,8.52
60,91.1,32.7768549775939,40,145,7.077792803193789,0.6911647506106653,6.178571428571429,8.48076923076923
61,90.8,31.692270350986217,42,140,7.133980799375548,0.7222139315750943,5.728813559322034,8.156862745098039
62,88.2,31.44943030750584,40,140,7.152701648128338,0.5869320033201746,6.0181818181818185,8.16
63,87.2,31.385771723293136,36,142,6.952749591218575,0.602277727393391,5.684210526315789,7.916666666666667
64,86.6,32.17037975115204,35,145,6.965644458665977,0.4986812271966408,6.222222222222222,7.804878048780488
65,86.2,30.676809916721567,37,139,6.806856219166444,0.43654703442516235,6.2075471698113205,7.54054054054054
66,86.2,32.10676633428606,39,147,6.866027271802366,0.5437637981608339,6.132075471698113,7.586956521739131
