year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,19.9,0.3162277660168379,19,20,2.0,0.0,2.0,2.0
3,19.6,0.5163977794943223,19,20,3.0,0.0,3.0,3.0
4,19.6,0.5163977794943223,19,20,4.0,0.0,4.0,4.0
5,19.5,0.52704627669473,19,20,5.0,0.0,5.0,5.0
6,19.4,0.5163977794943225,19,20,6.0,0.0,6.0,6.0
7,19.2,0.7888106377466155,18,20,7.0,0.0,7.0,7.0
8,18.9,1.1005049346146119,17,20,8.0,0.0,8.0,8.0
9,24.2,2.2997584414213788,20,27,7.044519813519813,0.7415174945677833,6.0,8.181818181818182
10,28.4,3.025814858109391,24,33,6.798899882077302,0.7942808907532279,5.6,8.416666666666666
11,35.2,4.516635916254486,29,41,6.216032456603334,0.6949675274642039,5.073170731707317,7.533333333333333
12,40.0,5.999999999999999,32,49,6.092355540550193,0.6597415415849481,5.081632653061225,7.393939393939394
13,42.5,5.400617248673217,38,52,6.314358380626947,0.5650374371630036,5.525,7.102564102564102
14,46.5,5.778311941119905,38,55,6.481360258770591,0.38808651919962256,6.041666666666667,7.435897435897436
15,50.9,7.694875639743058,38,63,6.682939354193711,0.5811908196104397,5.633333333333334,7.651162790697675
16,53.8,7.22341870431015,42,65,6.98530888985307,0.5972104826246843,6.2592592592592595,7.976190476190476
17,56.1,6.640783086353598,46,66,7.296986394286549,0.5273378906542985,6.4363636363636365,8.298245614035087
18,59.4,7.058485830702093,47,73,7.48031322399944,0.5800731330308045,6.275862068965517,8.419354838709678
19,61.0,10.230672835481872,41,81,7.8562316537258425,0.6090588647295876,6.596774193548387,8.517241379310345
20,63.7,12.293177873203586,42,85,7.803581523726015,0.6416175626391563,6.9868421052631575,8.927272727272728
21,69.2,14.73318250299869,39,89,7.665199774809665,0.7532786648893806,6.459770114942529,8.846153846153847
22,75.1,16.589487970130698,41,99,7.501677365080399,0.5485720315151814,6.644444444444445,8.439024390243903
23,78.6,18.9103146457165,43,106,7.692140035248464,0.7590332706640501,6.682352941176471,9.0
24,83.5,19.923464669691477,48,111,7.570929470172686,0.8700662658841039,6.063063063063063,9.061538461538461
25,88.5,22.02649919226082,53,124,7.428002359992766,0.8923440842196294,5.959677419354839,9.298507462686567
26,95.5,23.510045134414824,64,133,7.273102841106805,0.7438071774814408,6.234848484848484,9.0
27,99.0,25.263060428661888,63,143,7.469270244596248,0.6972729554230951,6.4,8.85135135135135
28,101.7,28.55812785647313,63,162,7.547223042442797,0.591572542663222,6.823529411764706,8.618421052631579
29,106.9,32.08824637707015,71,177,7.5083192603837645,0.5741008113324935,6.994350282485875,8.466666666666667
30,112.8,34.42156946515432,71,190,7.47968295593966,0.5176634354521407,6.947368421052632,8.246913580246913
31,118.8,39.377940807287295,70,209,7.3520621354631475,0.4815486792131069,6.507936507936508,8.288659793814434
32,116.9,37.54833921464141,70,202,6.415379935504082,0.46573333450097754,5.757142857142857,7.574468085106383
33,119.4,38.72466913996813,74,204,6.558078143679845,0.4848224602587435,5.783783783783784,7.288659793814433
34,123.7,42.38985727741956,75,218,6.697437296986588,0.41566648156215424,6.0423728813559325,7.242424242424242
35,132.5,43.17213607563718,80,226,6.547420206576076,0.4330896069726238,5.609375,7.191919191919192
36,136.9,47.771330314321375,81,241,6.662866352601921,0.43035386475354975,6.061728395061729,7.612244897959184
37,143.9,54.03794962801605,82,265,6.601083091435811,0.36724864476537716,6.116666666666666,7.388349514563107
38,148.5,55.56427709319081,83,273,6.591124072976703,0.4529676796385077,5.927007299270073,7.300970873786408
39,155.8,62.827453305771435,88,298,6.538475098901155,0.4968152359747137,5.73758865248227,7.3578947368421055
40,157.7,59.32968153556119,91,289,6.591478233229272,0.3475718366144162,5.935714285714286,7.153061224489796
41,163.8,62.85043975803016,90,305,6.538182560109912,0.308810848473813,6.1796875,7.121495327102804
42,169.4,65.02854074259326,97,319,6.581517591171884,0.4047988991821032,5.790697674418604,7.178403755868545
43,171.2,65.15758675020976,96,316,6.645330467892736,0.44161325853673944,6.221674876847291,7.399038461538462
44,176.9,67.58278873598908,97,328,6.6289848516913805,0.35174373973560225,6.186206896551724,7.363207547169812
45,181.6,65.83177213338725,107,329,6.446017470788962,0.2692521371727326,6.037383177570093,6.90273556231003
46,182.5,65.86729082025464,109,328,6.404416258018237,0.4429962587673186,5.76,7.2317073170731705
47,182.8,61.32572416567491,109,317,6.534545015839766,0.4297332718636905,5.819548872180451,7.173501577287066
48,187.1,62.46501242918132,113,327,6.550629904263739,0.45913038974681997,5.897810218978102,7.116564417177914
49,190.2,64.39599711507265,124,329,6.4882724221636865,0.4018021570634791,5.740458015267175,7.01058201058201
50,195.7,69.83957808196342,118,342,6.539340107893037,0.34523713007550416,6.16728624535316,7.085714285714285
51,204.6,78.98973210346887,125,381,6.5289609873193015,0.4014336010862787,5.93984962406015,7.146892655367232
52,212.9,83.25656463940578,125,403,6.518851182098777,0.36661220737275396,5.832214765100671,7.05
53,217.0,84.72701261502536,123,405,6.49969160081797,0.2867773094182787,5.96,6.9779005524861875
54,225.1,93.59184437403366,134,438,6.4445193163228165,0.38987451043194743,5.777777777777778,7.061320754716981
55,223.3,89.04187529222166,128,424,6.435131668154433,0.3502138319916991,5.690789473684211,6.958333333333333
56,228.7,86.67698656506236,141,429,6.387922913661762,0.3904961109095828,5.75,7.095744680851064
57,229.1,82.35350630058201,149,418,6.425431515212351,0.2936222644653789,5.921212121212121,6.771573604060913
58,233.4,80.69861626240358,153,423,6.324841561362065,0.4775517821767441,5.54601226993865,7.005050505050505
59,240.0,91.22986840332989,151,453,6.357417336910152,0.33412262113460406,5.71523178807947,6.824120603015075
60,247.2,96.53301104918577,153,479,6.313352222860027,0.3253947708691545,5.738562091503268,6.689530685920578
61,252.4,103.79060115872193,153,497,6.244485352750521,0.3267704055944447,5.700598802395209,6.752873563218391
62,259.5,108.94162555138314,149,519,6.344298135541427,0.16208675195276523,6.0701754385964914,6.579787234042553
63,261.4,111.38940703675551,148,514,6.330988884904992,0.2874069499575471,5.950354609929078,6.842391304347826
64,267.8,118.35520924553998,151,541,6.334768116015302,0.2948853952387129,6.0157728706624605,6.946524064171123
65,273.4,115.93503928206233,149,533,6.3388939850584745,0.31890606024507695,5.619883040935672,6.709844559585492
