year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,19.9,0.3162277660168377,19,20,7.0,0.0,7.0,7.0
8,19.7,0.6749485577105526,18,20,8.0,0.0,8.0,8.0
9,24.0,2.0,21,27,7.381812824856302,0.5367016073184315,6.666666666666667,8.181818181818182
10,27.8,2.740640638812596,25,32,7.213785212099728,0.5471884679578485,6.4375,8.08
11,31.3,3.497618237219913,27,36,7.246450163398693,0.6410489779373416,6.411764705882353,8.107142857142858
12,34.4,3.777124126457411,27,38,7.364272659521072,0.6112578339306135,6.702702702702703,8.413793103448276
13,36.2,3.457680661303983,29,40,7.6815814738773,0.47009670843559226,7.05,8.344827586206897
14,39.5,4.352521619066865,30,45,7.827981916896148,0.716385175532252,7.0476190476190474,9.055555555555555
15,41.7,5.313504806936128,31,48,8.20389488837841,0.8533273131908382,7.446808510638298,9.783783783783784
16,44.2,5.884065110297661,33,50,8.459367704631564,0.6586529035818945,7.68,9.575757575757576
17,46.8,5.884065110297661,37,55,8.86655083402664,0.610686900888731,7.818181818181818,9.86046511627907
18,49.0,6.2360956446232345,41,58,9.018849978459702,0.4865666000406909,8.051724137931034,9.75609756097561
19,51.1,6.208417225383975,42,60,9.300001885746497,0.4738491713916677,8.616666666666667,9.880952380952381
20,53.7,5.8509258526606995,44,60,9.467207351765255,0.4629031767903364,8.779661016949152,10.319148936170214
21,56.7,6.549809157525125,45,66,9.63485967937963,0.797122982145093,8.742424242424242,10.781818181818181
22,60.2,7.728734264634367,48,73,9.726012669790206,0.956040749329388,8.544117647058824,10.958333333333334
23,64.6,10.101705026600433,53,88,9.40396555637481,0.902141761522884,8.045454545454545,11.054545454545455
24,65.6,10.511369505867867,56,90,9.607345524889219,0.6490571440495305,8.561643835616438,10.607142857142858
25,68.8,10.39016629104441,56,90,9.646793900578132,0.6907552193763689,8.50632911392405,10.803571428571429
26,72.6,9.901739465591106,62,96,9.649574673390347,0.48895037023366633,8.90625,10.419354838709678
27,74.9,9.527154174603591,64,96,9.69981848454572,0.6372724822272214,8.604938271604938,10.828125
28,76.2,10.633281086601004,65,96,9.723618867835636,0.529282559567241,8.69767441860465,10.584615384615384
29,78.2,10.982814858779248,68,101,9.784990712099997,0.6228271171739814,9.029702970297029,11.125
30,79.2,11.448435118681795,67,104,9.894561741797997,0.662721497093572,8.604651162790697,10.585714285714285
31,84.3,9.61538119658059,73,105,9.391204510360486,0.6749018838685961,8.352272727272727,10.164383561643836
32,79.7,11.566714697306617,58,98,7.4588612576195015,0.6754664390873725,6.2073170731707314,8.484848484848484
33,82.1,12.251530516633421,59,99,7.579197151733451,0.544390951385521,6.884615384615385,8.666666666666666
34,84.4,12.33063033443321,65,106,7.73370260291131,0.5926666475988819,7.1208791208791204,9.044117647058824
35,88.4,11.462014560179975,70,108,7.653732198281169,0.5971227910993258,6.674418604651163,8.876712328767123
36,92.1,14.371654200002324,71,116,7.646123953651906,0.46238776630560957,7.078431372549019,8.680555555555555
37,94.3,12.96191001014554,77,117,7.859028955971136,0.4426137105219296,7.159574468085107,8.688311688311689
38,96.5,13.566707616645814,76,118,7.9383764625933795,0.5885796347166437,7.109090909090909,9.210526315789474
39,99.4,12.606876430477667,82,116,8.037087726868357,0.5200845536787037,7.2342342342342345,8.975609756097562
40,100.0,12.762793146051099,80,116,8.13715183301922,0.5189884077887543,7.317757009345795,8.765432098765432
41,103.1,12.573782247199924,87,124,8.131720382967734,0.5252338658062026,7.233870967741935,8.86111111111111
42,104.2,15.200877167672484,85,129,8.214024473602095,0.841429099633063,6.751937984496124,9.686046511627907
43,105.8,17.04764565041819,77,128,8.22084166353425,0.8334677207531656,7.363636363636363,10.233766233766234
44,108.9,15.659218087475223,86,128,7.996120285822866,0.5851324648136741,7.433070866141732,9.057471264367816
45,110.1,14.654919538048192,89,129,8.0326027835177,0.49394781522350056,7.411764705882353,9.029126213592233
46,109.0,12.780193008453878,90,123,7.899114432574228,0.5023953593274338,7.213114754098361,8.683673469387756
47,110.0,13.548267621934382,93,132,7.9616717918521065,0.4194451967638603,7.271186440677966,8.57843137254902
48,109.9,14.813282328145014,89,131,8.012853385622607,0.5041712796013272,7.413793103448276,8.784313725490197
49,112.6,14.167254889748794,93,136,7.95678642778217,0.46469710749156956,7.205882352941177,8.882978723404255
50,112.7,16.15239920259526,91,142,8.011245514944282,0.4096369774727812,7.394366197183099,8.835164835164836
51,112.5,16.174396777348797,89,140,8.133901053497729,0.5136471637917173,7.120967741935484,9.01086956521739
52,110.8,16.791532257526576,84,134,7.9952466157785524,0.5890794532295441,6.700787401574803,8.703703703703704
53,112.0,17.36535503684147,86,137,7.986677956868988,0.5378484344690295,6.928571428571429,8.662790697674419
54,115.7,17.282296658076948,88,144,7.929246163416873,0.5636167335446136,7.04,8.943181818181818
55,117.1,21.241730417061387,85,147,7.768088121725027,0.5629595620165948,7.067164179104478,9.094117647058823
56,119.9,20.327594818647658,92,155,7.663367227195072,0.38822107921318266,7.130434782608695,8.41304347826087
57,119.2,22.508270085064783,91,162,7.768837664375161,0.424506293827928,7.2,8.483516483516484
58,119.2,25.75439552559697,81,157,7.684561474509351,0.5836132992269775,6.604938271604938,8.422222222222222
59,119.5,26.09916984631248,81,158,7.736294219438736,0.5956074423996143,6.987654320987654,8.670588235294117
60,118.5,26.709340854631524,79,154,7.68218046388913,0.37964548205601495,7.273333333333333,8.297709923664122
61,119.4,29.413526744604354,72,157,7.565583619331806,0.3929570155016624,7.109375,8.353658536585366
62,122.5,32.99579097736894,71,168,7.559234958812143,0.3556084066900779,7.173228346456693,8.253521126760564
63,122.1,33.92950207579107,69,170,7.659440090009355,0.2532190870314844,7.253164556962025,8.0
64,121.3,35.39946641154669,66,169,7.580593816092619,0.190647492557023,7.287425149700598,7.9326923076923075
65,120.9,34.30079364161192,66,163,7.6323360532176965,0.305837458103106,7.139130434782609,8.098039215686274
66,120.5,34.817779621592436,66,170,7.69593396534736,0.3485101442936068,7.146551724137931,8.198198198198199
