year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,20.0,0.0,20,20,0.0,0.0,0.0,0.0
1,20.0,0.0,20,20,1.0,0.0,1.0,1.0
2,20.0,0.0,20,20,2.0,0.0,2.0,2.0
3,20.0,0.0,20,20,3.0,0.0,3.0,3.0
4,20.0,0.0,20,20,4.0,0.0,4.0,4.0
5,20.0,0.0,20,20,5.0,0.0,5.0,5.0
6,20.0,0.0,20,20,6.0,0.0,6.0,6.0
7,20.0,0.0,20,20,7.0,0.0,7.0,7.0
8,20.0,0.0,20,20,8.0,0.0,8.0,8.0
9,22.9,2.4698178070456946,21,27,7.893593073593074,0.758763963400775,6.666666666666667,8.571428571428571
10,26.5,3.62859017617954,23,35,7.640415539483006,0.7696003940723375,5.914285714285715,8.347826086956522
11,30.4,3.8930136855083823,24,37,7.461819817756643,0.7790891476384304,6.54054054054054,8.958333333333334
12,35.1,3.5730472522297645,29,42,7.296210299455535,0.5063493662646985,6.642857142857143,8.241379310344827
13,38.7,3.0568684048294337,33,44,7.494765440346313,0.31511526701194814,7.157894736842105,8.121212121212121
14,41.5,4.034572812303402,33,45,7.85159441909442,0.6709849846832935,6.659090909090909,9.121212121212121
15,43.9,3.784471194529326,35,48,8.303815986435358,0.5567115789464333,7.659090909090909,9.542857142857143
16,46.7,3.917198545446024,41,55,8.481106796666248,0.3096460451981923,8.066666666666666,9.0
17,49.6,3.3399933466334266,43,56,8.811712046178041,0.45751747565041156,8.117647058823529,9.534883720930232
18,52.3,4.110960958218893,47,59,9.06769665278825,0.6127859506834348,8.142857142857142,10.22
19,54.6,4.9035134795822115,48,63,9.56356939578671,0.49973748404056967,8.803571428571429,10.346153846153847
20,58.1,5.858517066820086,50,69,9.56711140142608,0.44771865935953015,8.838709677419354,10.0
21,61.8,7.020604595680409,53,76,9.467792555290037,0.417299657269664,8.789473684210526,9.981481481481481
22,66.7,7.46919600016554,57,83,9.432217926123164,0.5464629865476245,8.929577464788732,10.403508771929825
23,70.9,8.198238293140246,60,86,9.506201648374933,0.6166064418992547,8.419753086419753,10.470588235294118
24,76.0,9.933109617167561,58,93,9.463974575827587,0.5209666471919344,8.573033707865168,10.179487179487179
25,80.4,9.822875795249011,62,97,9.365399165440085,0.49740429205359227,8.301075268817204,10.016129032258064
26,84.6,10.895462868144296,63,103,9.342264722019442,0.5947079021496203,8.320987654320987,10.291139240506329
27,87.8,11.331372379372237,65,106,9.452612133624731,0.613549109360408,8.409090909090908,10.5875
28,91.4,12.348639151294723,65,110,9.318961767974395,0.7214284370017692,8.404494382022472,10.916666666666666
29,94.7,14.00039681977304,64,113,9.284647234200436,0.6411572979494021,8.33695652173913,10.340659340659341
30,99.4,15.064306599818437,68,120,9.197461550581133,0.5960755695335569,8.16504854368932,10.112244897959183
31,103.7,15.166117206164243,70,119,9.326135380800553,0.6535703525752625,8.567796610169491,10.29896907216495
32,97.8,15.788884979278585,64,115,7.773785089422408,0.4788502376029043,7.118181818181818,8.65625
33,101.7,18.427334768399547,65,127,7.98402446083382,0.48243094848707335,7.298245614035087,8.84
34,109.1,19.66638417876216,67,135,8.039597802275939,0.672970137984006,6.893203883495145,9.08955223880597
35,115.3,23.252478959839483,70,147,8.081264242351578,0.6915666205033879,7.240875912408759,9.26126126126126
36,117.2,24.238628490719336,70,153,8.29117042035321,0.6940533672671321,7.495238095238095,9.504347826086956
37,120.5,22.182325296405597,76,150,8.465652249277497,0.4711896903514097,7.842592592592593,9.272
38,124.5,26.634355424693293,72,163,8.3605916406123,0.5108767714669084,7.622641509433962,9.346774193548388
39,130.0,29.914693528246097,77,176,8.178941052992123,0.5853756610773947,7.262135922330097,9.34920634920635
40,135.1,31.271037363313962,79,179,8.209671364043027,0.6151894918618779,7.45945945945946,9.538461538461538
41,137.5,34.84967718645324,74,186,8.291924685305158,0.539159970415727,7.433628318584071,9.4765625
42,142.2,35.41123487758589,79,193,8.400586255558212,0.5091497355889144,7.931623931623932,9.71875
43,143.8,35.16248000354924,78,189,8.317284051052704,0.3669025395352979,7.76551724137931,8.818181818181818
44,148.7,36.08031165177054,79,195,8.189989624876842,0.47576442129899255,7.379746835443038,9.04733727810651
45,151.4,37.26541440949115,78,199,8.080592018278116,0.5021072826509528,7.602564102564102,9.397660818713451
46,155.1,34.31698639967612,90,198,8.12160240755089,0.6016057454955409,7.044444444444444,9.377142857142857
47,161.2,33.687452329382886,95,203,7.988189901221647,0.6437853013552159,6.968421052631579,9.446808510638299
48,166.6,34.18316674752193,103,206,8.049730209069219,0.4798995373620827,7.067961165048544,8.901477832512315
49,172.4,35.97900622430932,104,214,7.935021127137584,0.5701764444786567,6.846153846153846,9.03883495145631
50,173.5,35.98224870991558,103,216,8.030734216257866,0.39871990593538337,7.378640776699029,8.898058252427184
51,179.1,37.486145588885385,105,222,7.977411379997482,0.44524570173477795,7.429530201342282,8.944186046511629
52,184.5,41.077839389248425,106,234,8.080783555171609,0.4314160451023791,7.577639751552795,8.840182648401827
53,190.7,41.63345342923698,112,236,8.07564524253103,0.35267725864879806,7.49685534591195,8.580786026200874
54,195.9,42.95333385069067,116,241,7.980123629249418,0.38059824751629046,7.280487804878049,8.438297872340426
55,198.2,45.015552867870014,117,252,7.985344772062808,0.3273521907461306,7.150602409638554,8.282051282051283
56,200.5,45.64172068038919,124,256,7.997177340772511,0.3052938549406344,7.487654320987654,8.413793103448276
57,203.8,47.328168732326375,130,269,8.028157141020918,0.3796795798170786,7.369047619047619,8.533333333333333
58,206.2,47.9763830788997,128,269,8.036326050827977,0.41212961684243343,7.1647727272727275,8.535885167464114
59,208.6,49.5472838138816,135,273,8.031371767803565,0.5389292090853691,6.976878612716763,8.876543209876543
60,208.8,53.503478599267005,134,274,7.964241933708306,0.42514207447953734,7.335329341317365,8.627906976744185
61,211.7,56.11902034466073,132,285,7.958989991540579,0.37406083704495113,7.564102564102564,8.64516129032258
62,212.8,56.63293113453417,131,290,7.882792795864965,0.42231100683292555,7.374045801526718,8.474025974025974
63,220.9,60.27981051360029,129,301,7.829230717573057,0.3321952269446966,7.372093023255814,8.426470588235293
64,228.1,61.301531610374774,136,306,7.744072069090817,0.2489575913307298,7.4411764705882355,8.137440758293838
65,229.6,62.89002747300685,133,308,7.7621790199610015,0.33259967900857496,7.142857142857143,8.256317689530686
66,233.9,65.30007656963352,141,319,7.71251723436315,0.2686337858273597,7.375886524822695,8.113300492610838
