year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,30.0,0.0,30,30,0.0,0.0,0.0,0.0
1,30.0,0.0,30,30,1.0,0.0,1.0,1.0
2,30.0,0.0,30,30,2.0,0.0,2.0,2.0
3,30.0,0.0,30,30,3.0,0.0,3.0,3.0
4,30.0,0.0,30,30,4.0,0.0,4.0,4.0
5,30.0,0.0,30,30,5.0,0.0,5.0,5.0
6,30.0,0.0,30,30,6.0,0.0,6.0,6.0
7,30.0,0.0,30,30,7.0,0.0,7.0,7.0
8,29.9,0.3162277660168379,29,30,8.0,0.0,8.0,8.0
9,36.4,1.577621275493232,35,39,7.380997920997922,0.3440543821071505,6.6923076923076925,7.714285714285714
10,43.6,2.4129281427805136,40,48,6.9607106782106785,0.42027085502204936,6.166666666666667,7.65
11,48.7,4.473378042498879,42,55,7.162284739484754,0.6539744110767219,6.254545454545455,8.238095238095237
12,53.4,5.103375789067903,46,61,7.428644160127773,0.6667293991012742,6.540983606557377,8.608695652173912
13,58.4,6.397916327472041,48,67,7.626895238840416,0.6350761740218615,6.861538461538461,8.666666666666666
14,62.7,6.684143758012524,52,71,8.011304688574226,0.5966575065004409,7.405797101449275,9.12962962962963
15,68.0,8.5374989832438,55,78,8.222099006244308,0.7288400786074555,7.368421052631579,9.431034482758621
16,73.4,8.461678320522468,58,84,8.478628336921583,0.5485160683031718,7.7560975609756095,9.293103448275861
17,76.7,8.367264254887084,62,88,8.848902889796044,0.5384138540666832,7.988636363636363,9.548387096774194
18,81.5,7.849274559544412,69,96,9.117666401429826,0.4462022313525455,8.052083333333334,9.488372093023257
19,87.3,9.989438867568532,71,103,9.30525017833091,0.4490677072637274,8.339805825242719,9.912087912087912
20,91.7,10.078028907810626,79,105,9.616689044876043,0.5003441248804582,8.704761904761904,10.452631578947368
21,97.9,10.898012051134218,81,109,9.694300320707706,0.521433807583825,9.05607476635514,10.555555555555555
22,105.7,13.383655039719988,85,123,9.659954500615306,0.47887047947945466,8.91869918699187,10.51764705882353
23,113.7,14.22087667246057,95,133,9.705380435159057,0.33234466572201543,9.172932330827068,10.210526315789474
24,124.9,15.630810030904419,103,145,9.499229992080277,0.39097976875180374,9.0,10.233009708737864
25,131.4,14.68332387438212,111,152,9.57034866113914,0.4204394050308853,8.914473684210526,10.017699115044248
26,139.7,14.651886492113494,120,160,9.472922902167616,0.45729988676785904,8.57857142857143,10.071895424836601
27,147.4,17.82133552795637,125,170,9.530191026803518,0.5617543391955979,8.757575757575758,10.297709923664122
28,152.4,19.311481904124634,124,179,9.630444739149137,0.4966829326839716,9.023391812865498,10.294117647058824
29,160.2,21.091335767192284,126,188,9.646442287901548,0.5617334043396662,8.8125,10.595238095238095
30,165.4,19.201851762554337,131,191,9.75077811775507,0.4344359322724921,8.927152317880795,10.580152671755725
31,172.5,21.1620729923449,138,201,9.842228952673105,0.4258206210483261,9.025806451612903,10.623188405797102
32,159.1,21.10002632963075,121,188,7.9771477989734745,0.31373963124299775,7.590425531914893,8.427027027027027
33,165.5,21.040965334846742,125,195,8.142007781411099,0.37198167026511514,7.681564245810056,8.712820512820512
34,171.1,23.506263940584958,129,207,8.37249457208154,0.3691936544311233,7.775,8.832402234636872
35,178.6,21.396780650888168,146,212,8.43018735587052,0.4016846352025424,7.941860465116279,9.075268817204302
36,187.5,21.329426725639966,158,228,8.43035103225946,0.4773977464477904,7.809782608695652,9.453551912568306
37,195.2,22.399404753995885,163,234,8.54460810942,0.42194825452844686,7.948453608247423,9.389189189189189
38,204.0,27.32113548966156,169,248,8.437532949938873,0.3977452191998891,7.85377358490566,8.982248520710058
39,208.0,26.754023581094824,175,252,8.63574606732806,0.40158185892829334,7.893258426966292,9.235576923076923
40,213.6,27.769687710803584,175,259,8.699835595515108,0.32470364851516326,8.137142857142857,9.291079812206572
41,219.7,26.31455026322045,182,261,8.648383830800771,0.282882561959595,8.175824175824175,9.173515981735159
42,228.5,26.29427483101386,191,272,8.476029761618054,0.2728992721465769,8.104712041884817,8.878923766816143
43,237.6,27.669477768834014,194,286,8.479199565991417,0.30729377190680823,7.8776223776223775,9.030701754385966
44,247.4,28.849032335013714,197,294,8.483093200684802,0.2736795146398793,8.179916317991632,8.991189427312776
45,255.3,29.20064687259133,206,299,8.459779054361398,0.2130377553862599,8.186234817813766,8.902173913043478
46,264.9,31.0177368613508,218,311,8.408661441877888,0.32100868486697903,7.7915057915057915,8.941176470588236
47,273.1,33.19454439780395,226,327,8.3743417933693,0.30096072887527536,7.924778761061947,8.948275862068966
48,280.7,33.75088476206545,244,336,8.32276415451038,0.34760998441089597,7.614754098360656,8.95973154362416
49,282.6,32.907952433011275,247,345,8.423311687782217,0.25542106083609073,8.004,8.768976897689768
50,291.4,34.22215007207402,255,353,8.454607948127038,0.2918816477492761,8.062745098039215,9.032467532467532
51,297.5,34.84967718645325,258,359,8.534468882710996,0.31170351431748106,8.0968992248062,9.085443037974683
52,301.2,37.37140915489035,256,371,8.522060257815479,0.325911915639933,7.949458483754513,9.006153846153847
53,308.4,38.20471175130105,259,392,8.445546011401806,0.2724423866398237,8.065743944636678,8.848993288590604
54,315.5,42.09579023555154,267,395,8.27835378754855,0.32889589340320297,7.763250883392226,8.8
55,321.6,45.19390322697177,260,398,8.292877691656198,0.45793480191201325,7.7,9.275316455696203
