year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,30.0,0.0,30,30,0.0,0.0,0.0,0.0
1,30.0,0.0,30,30,1.0,0.0,1.0,1.0
2,30.0,0.0,30,30,2.0,0.0,2.0,2.0
3,30.0,0.0,30,30,3.0,0.0,3.0,3.0
4,30.0,0.0,30,30,4.0,0.0,4.0,4.0
5,30.0,0.0,30,30,5.0,0.0,5.0,5.0
6,29.9,0.3162277660168379,29,30,6.0,0.0,6.0,6.0
7,29.8,0.42163702135578385,29,30,7.0,0.0,7.0,7.0
8,35.2,3.2591750830880835,31,42,6.820114196366568,0.5798604993929373,5.714285714285714,7.741935483870968
9,39.7,4.110960958218892,34,47,6.949240642421756,0.6340264109932653,6.0,7.970588235294118
10,44.8,3.910100879630715,40,50,6.982409417079407,0.45506933391717935,6.448979591836735,7.625
11,49.6,4.005551702879947,44,55,7.14026151730215,0.4191231170223043,6.6,7.739130434782608
12,54.6,3.9214509786273974,48,63,7.344624689004034,0.3467613661190071,6.888888888888889,8.083333333333334
13,59.6,4.903513479582211,52,68,7.636439969590443,0.5018473216842076,7.078125,8.407407407407407
14,64.7,4.967673276069772,58,73,7.844750123229855,0.48772646113214596,6.915492957746479,8.413793103448276
15,69.1,5.933895104491746,62,80,8.125552499259594,0.5420952765563891,7.1891891891891895,8.857142857142858
16,74.6,7.136759301905404,64,89,8.270363019740826,0.471832135113612,7.602564102564102,9.015625
17,79.1,7.218032973047436,67,92,8.645170849708446,0.6070803901712671,7.741176470588235,9.535211267605634
18,83.5,8.23609940040389,70,95,8.945530088717224,0.5142171652279018,8.295454545454545,9.728571428571428
19,88.9,9.550450832872295,74,100,9.191096900692182,0.636722901252075,8.292929292929292,10.14864864864865
20,96.1,11.367106540853355,78,114,9.258421159636331,0.7544263187059131,7.964912280701754,10.576923076923077
21,102.5,12.877629181387908,86,123,9.245062428610913,0.7295684327042808,8.308943089430894,10.5
22,108.8,14.512829573250773,88,131,9.362233878217207,0.8030518776838007,8.50925925925926,11.079545454545455
23,115.0,17.081503967091944,95,146,9.338936972479809,0.7367892732553124,8.603305785123966,10.6
24,123.3,18.48152230382191,97,159,9.194624661111988,0.5885545113021792,8.496062992125983,10.130841121495328
25,129.3,18.761959149063063,103,165,9.250783011358493,0.5519996798876512,8.547619047619047,10.442477876106194
26,137.7,22.27629532335512,101,176,9.197981632474008,0.5155506617333754,8.630681818181818,10.366666666666667
27,143.2,23.27039129690584,102,184,9.460879660642297,0.5983525429039752,8.719745222929935,10.706349206349206
28,149.1,26.290894072113847,105,193,9.467666567836124,0.5211670677867007,8.937888198757763,10.488549618320612
29,152.8,27.474432559098368,106,199,9.515330269584414,0.5203226541628708,8.702380952380953,10.21875
30,157.1,27.50535301435785,110,201,9.406000990879848,0.5726977907816786,8.663636363636364,10.553030303030303
31,158.3,29.29182669467903,108,205,9.544994020933194,0.5337005322220735,9.029761904761905,10.816176470588236
32,150.2,29.17304692120222,101,195,7.608346791668292,0.249632029352697,7.101351351351352,7.9282051282051285
33,158.1,29.658987770245222,108,203,7.778627675561327,0.28918962340406595,7.37962962962963,8.295566502463053
34,165.8,33.23251419919956,110,220,7.845167097454336,0.2729038556180427,7.531914893617022,8.340909090909092
35,171.1,34.783297396563455,114,225,7.861136921964525,0.3381235222668915,7.201754385964913,8.528888888888888
36,176.6,35.957382181317556,123,245,7.879275873580513,0.2375087653876579,7.390243902439025,8.269387755102041
37,181.9,37.67831678240889,123,257,8.021456393974814,0.31018395385561176,7.3509933774834435,8.365758754863814
38,188.3,37.66238913764706,130,265,8.091761771201963,0.3511314460988598,7.528662420382165,8.707762557077626
39,191.5,39.945101215432054,136,274,8.208581658208946,0.4005577538091667,7.514705882352941,8.99537037037037
40,194.2,41.22512718126059,136,274,8.244623521195136,0.38607268787609744,7.485294117647059,8.783410138248849
41,201.5,42.31430018327138,138,286,8.122982612439525,0.3512307971893408,7.587301587301587,8.710144927536232
42,207.8,48.18897983748751,140,300,8.074665304387844,0.3646485727263336,7.474452554744525,8.514450867052023
43,214.1,48.713333789516895,144,308,8.044400533332471,0.46936898370962293,7.319444444444445,8.647398843930636
44,214.8,49.19078504489772,132,305,8.191028161398764,0.3305802318154486,7.696969696969697,8.665
45,222.3,51.92312693888063,132,313,8.132821937565511,0.30427435871943503,7.654362416107382,8.545893719806763
46,226.6,53.52092010502892,139,328,8.038803454069004,0.2856456548761665,7.529126213592233,8.424242424242424
47,227.6,55.72791042197797,139,331,8.05932249115143,0.2633666871104872,7.819095477386934,8.661691542288557
48,230.6,53.317080856992824,149,319,8.016203511793519,0.1966426114650579,7.8120805369127515,8.467661691542288
49,232.5,56.690681186005634,153,328,8.025274964573192,0.20410122238577957,7.622489959839357,8.258536585365853
50,236.0,57.333333333333336,152,334,7.991696451058539,0.23955656157391872,7.625,8.511976047904191
51,242.0,62.932062134054085,152,361,7.977234673718958,0.24772502331502913,7.625,8.313019390581717
52,242.5,61.38267942451953,151,364,7.913802554713182,0.34496440018484287,7.5364238410596025,8.429347826086957
53,243.4,63.09639891115463,148,376,7.804118123449977,0.4098652508302992,7.168918918918919,8.567567567567568
54,245.5,62.53043703314055,144,377,7.8410837099576,0.3150916779796462,7.215277777777778,8.343589743589744
55,248.9,64.00251731160441,156,390,7.653919036970963,0.35647228163112565,7.165938864628821,8.286458333333334
