year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,30.0,0.0,30,30,0.0,0.0,0.0,0.0
1,30.0,0.0,30,30,1.0,0.0,1.0,1.0
2,30.0,0.0,30,30,2.0,0.0,2.0,2.0
3,30.0,0.0,30,30,3.0,0.0,3.0,3.0
4,30.0,0.0,30,30,4.0,0.0,4.0,4.0
5,30.0,0.0,30,30,5.0,0.0,5.0,5.0
6,30.0,0.0,30,30,6.0,0.0,6.0,6.0
7,30.0,0.0,30,30,7.0,0.0,7.0,7.0
8,37.0,3.018461712712472,33,42,6.525195135102256,0.5282656306903388,5.714285714285714,7.2727272727272725
9,41.1,4.3576242252962665,33,47,6.727807781968633,0.5689367762235349,5.957446808510638,7.7272727272727275
10,46.6,6.484168755086841,39,59,6.832444561173932,0.6962612942544367,5.5423728813559325,7.4523809523809526
11,51.0,5.436502143433365,44,62,7.060072440232578,0.5069952867069284,6.048387096774194,7.866666666666666
12,55.2,5.493430419854044,48,64,7.397357395388366,0.45215865650305964,6.828125,8.3125
13,60.2,7.052186422190875,50,72,7.695289667717249,0.49925277560615483,6.958333333333333,8.38
14,63.1,7.622335600063802,50,76,8.127783977881545,0.4458902268043083,7.5394736842105265,8.82
15,67.1,8.089087299153924,53,82,8.443234234707361,0.5735484581159348,7.684931506849315,9.533333333333333
16,72.2,10.053191864610298,57,92,8.606844879373423,0.5709255130387217,7.858695652173913,9.723076923076922
17,76.9,10.21382505343724,61,96,8.75038859416953,0.7105491961165957,7.697916666666667,10.380952380952381
18,82.3,12.428014948315582,64,107,8.959794403131252,0.8674036028562971,7.710280373831775,10.863636363636363
19,88.3,14.7350677712124,66,114,9.069686348906744,0.8668627047223871,8.017543859649123,10.833333333333334
20,96.5,16.064107680028652,73,129,8.925551295059034,0.5017256082918962,7.9689922480620154,9.855263157894736
21,102.2,15.2081849307828,77,129,9.013337346196327,0.383961666658231,8.518867924528301,9.646341463414634
22,110.5,17.80293359096878,83,137,8.98957115273508,0.3837506100716348,8.647058823529411,10.023809523809524
23,116.3,17.82040029479323,87,143,9.132834842574152,0.30416458480946185,8.725190839694656,9.60909090909091
24,123.7,18.761959149063063,96,149,9.099547293611797,0.4299986589045061,8.488888888888889,9.612068965517242
25,131.1,19.868735910134458,104,159,9.094286842720049,0.356361647944448,8.492957746478874,9.53448275862069
26,136.4,23.123821291281228,105,167,9.078024490069856,0.5062060122433253,8.146788990825687,9.676470588235293
27,143.5,25.047732210499394,108,177,9.118646736461804,0.6286409459893145,7.896551724137931,9.972222222222221
28,151.6,27.362585972658195,117,191,9.03109683669511,0.5306884681464875,8.26271186440678,9.993055555555555
29,154.7,28.894636180440134,117,195,9.252243668433726,0.3817696294952196,8.401709401709402,9.81060606060606
30,161.4,29.620563427757045,115,202,9.294650713626819,0.21834815501902788,8.791304347826086,9.54225352112676
31,165.9,33.23468736793599,116,217,9.325984082988395,0.28930148465326305,8.818965517241379,9.91025641025641
32,161.7,35.52166787875942,115,215,7.78878595388457,0.32974775736023093,7.288461538461538,8.405405405405405
33,167.0,37.66224162798126,115,224,7.945693649318389,0.2803737432010793,7.572327044025157,8.360759493670885
34,174.8,42.803945820190194,109,248,8.03467251720137,0.36880129158393893,7.465116279069767,8.547619047619047
35,181.1,42.39352675953147,112,248,8.171115294269653,0.43182350964142574,7.448275862068965,8.902325581395349
36,184.9,43.76058602085773,111,249,8.23390696511687,0.4517974815153861,7.427777777777778,8.703030303030303
37,191.8,45.30342150434115,116,264,8.192256236613831,0.398358129459192,7.285714285714286,8.641592920353983
38,198.0,46.312945154555756,120,270,8.29571055355096,0.446979311403455,7.341968911917099,8.818965517241379
39,203.3,47.42725423682509,130,277,8.260982333224206,0.3859677980903891,7.304568527918781,8.756302521008404
40,209.5,47.197575267285835,138,287,8.16124920043067,0.3762695653573142,7.269230769230769,8.602564102564102
41,210.7,46.63105784298224,143,287,8.149134457762369,0.42604738260579306,7.362745098039215,8.712041884816754
42,217.2,51.22672913409344,144,306,8.18104825804618,0.43229285181061966,7.412371134020619,8.651515151515152
43,222.3,51.44155259450607,151,310,8.063698753825125,0.4414673286886815,7.321782178217822,8.627551020408163
44,230.7,53.69885163266219,156,329,7.965417050623084,0.42188770865371517,7.385714285714286,8.58974358974359
45,233.9,56.21476674326773,162,338,8.033209873970987,0.4487867553231526,7.213953488372093,8.765432098765432
46,239.6,59.44222218068381,160,353,7.935506749214701,0.3802275116653278,7.330232558139535,8.56875
47,245.8,66.17283766353415,169,380,7.857970778916014,0.40273438141010887,7.323404255319149,8.70414201183432
48,251.9,69.9737252275611,164,390,7.805481958797868,0.4127280586796523,7.109756097560975,8.44186046511628
49,254.3,72.1696304241303,169,400,7.912651754728285,0.32385246948893426,7.226337448559671,8.403846153846153
50,255.9,72.53420648984252,173,407,7.836150108381888,0.21396974764407412,7.399141630901288,8.178294573643411
51,262.2,75.67885364412498,174,419,7.9308879992723025,0.24168007514635512,7.439130434782609,8.147435897435898
52,267.0,76.71158104658427,175,424,7.994507616580951,0.20552060375239725,7.692708333333333,8.267692307692307
53,270.8,82.5924397939128,168,425,7.954184151684193,0.25123966002447295,7.544973544973545,8.321428571428571
54,275.1,85.93725100974032,167,442,7.827790974435158,0.42529829899515237,7.1193415637860085,8.260663507109005
55,273.4,87.39463497390571,164,449,7.85262096748132,0.3936839651765698,7.213197969543147,8.333333333333334
