year,mean_population,std_population,min_population,max_population,mean_age,std_age,min_age,max_age
0,30.0,0.0,30,30,0.0,0.0,0.0,0.0
1,30.0,0.0,30,30,1.0,0.0,1.0,1.0
2,30.0,0.0,30,30,2.0,0.0,2.0,2.0
3,30.0,0.0,30,30,3.0,0.0,3.0,3.0
4,30.0,0.0,30,30,4.0,0.0,4.0,4.0
5,30.0,0.0,30,30,5.0,0.0,5.0,5.0
6,29.9,0.3162277660168377,29,30,6.0,0.0,6.0,6.0
7,29.9,0.3162277660168377,29,30,7.0,0.0,7.0,7.0
8,34.0,2.943920288775949,31,41,7.030885977641658,0.5628865324302526,5.853658536585366,7.741935483870968
9,38.9,3.928528138289624,34,47,7.014575252655892,0.629857705300648,5.9787234042553195,7.970588235294118
10,44.4,4.903513479582212,37,56,7.030654795780978,0.6040965316492752,5.857142857142857,8.243243243243244
11,49.5,4.403281604540968,43,59,7.1436735120317945,0.4724659004785743,6.322033898305085,7.953488372093023
12,54.0,4.876246279442598,45,62,7.430807820958066,0.5805020592049446,6.775862068965517,8.555555555555555
13,58.1,6.7568894881857835,49,69,7.751820437930289,0.7063307645884676,6.971014492753623,9.183673469387756
14,62.7,7.775317071062475,53,73,8.0044576927051,0.7202013322367689,7.0,9.415094339622641
15,67.4,8.044321668799125,56,77,8.29560782784467,0.7559149203290157,7.388888888888889,9.857142857142858
16,71.6,7.366591251499342,60,83,8.563196290595059,0.45699519880928763,7.947368421052632,9.316666666666666
17,77.9,7.781031065639338,68,91,8.673493967338167,0.39222997234743884,8.132530120481928,9.4
18,84.5,7.806692285753581,73,96,8.741535567852598,0.24715999088080057,8.404761904761905,9.186046511627907
19,92.2,10.25020325001737,74,109,8.687850883000625,0.3308145766969829,8.311827956989248,9.27027027027027
20,99.5,10.617072205755324,81,116,8.813757511539928,0.4253055866229457,8.318965517241379,9.559139784946236
21,106.4,11.824644697504539,84,125,8.954185025648187,0.4128041046798906,8.281818181818181,9.594059405940595
22,112.8,11.242775458044157,93,127,9.080913125264086,0.3227405390713119,8.543307086614174,9.59047619047619
23,120.5,12.721373091507589,97,137,9.034016201497256,0.41407382398709797,8.416058394160585,9.84070796460177
24,127.5,15.522385269166733,105,156,9.010714006648026,0.33740039017429074,8.611940298507463,9.785714285714286
25,132.3,16.512957874886553,112,164,9.18032936058508,0.37069619818614735,8.670731707317072,9.751937984496124
26,140.3,19.816098954581786,118,173,9.173261652582081,0.37953723908148856,8.555555555555555,9.875912408759124
27,146.7,20.928714989485407,122,183,9.15451283744028,0.3557942222662585,8.505747126436782,9.82
28,154.1,22.834914787082806,126,193,9.276155961624813,0.3888191451194335,8.492227979274611,9.930379746835444
29,158.6,24.802329639684164,124,198,9.38470577667432,0.32129326134128366,8.686868686868687,9.796511627906977
30,163.2,23.95273122909647,121,200,9.608827317575802,0.4424626607492376,8.937853107344633,10.426900584795321
31,167.2,23.384705352953336,123,199,9.653790140934046,0.5224152017178486,9.032894736842104,10.836257309941521
32,158.1,26.805679331896147,107,200,7.896099744586804,0.4069661177617805,7.340579710144928,8.50314465408805
33,163.8,29.104409746061965,108,208,7.950948002837441,0.4091508558625437,7.493421052631579,8.69277108433735
34,169.8,31.70629099861554,108,216,8.06659677471637,0.4487031355150718,7.4,8.86144578313253
35,175.4,31.598874804158594,111,220,8.114332334730001,0.33856316708841866,7.444444444444445,8.581920903954803
36,184.3,32.700832473263496,117,231,8.211165157094019,0.43009944981819687,7.526315789473684,8.901098901098901
37,190.4,32.23938240378959,117,226,8.344920342487804,0.4246390639299645,7.582857142857143,8.957264957264957
38,195.0,34.99206259202856,118,235,8.343152083804432,0.3275087402317202,7.585635359116022,8.847457627118644
39,201.6,36.96905612956748,117,248,8.392797672235643,0.3616390456985028,7.63681592039801,8.902542372881356
40,208.1,39.04256935989513,118,261,8.207091723399277,0.2628554018069013,7.619289340101523,8.666666666666666
41,212.1,40.222851437681264,117,263,8.24915571095878,0.3620491854608867,7.831730769230769,8.965811965811966
42,216.0,42.07136793592526,122,267,8.285854575050141,0.22737531734845817,7.963855421686747,8.737704918032787
43,221.8,41.70211825155488,124,265,8.212803136485984,0.2886864269010041,7.769607843137255,8.709677419354838
44,225.9,42.74588999086475,119,268,8.240596813540337,0.28062362213740505,7.814977973568282,8.577669902912621
45,227.8,42.29736004370328,122,272,8.260116426319575,0.23087275254119172,7.919642857142857,8.748987854251013
46,234.9,44.328195190971726,125,282,8.283611517548996,0.32622450159589295,7.74793388429752,8.874476987447698
47,243.4,49.545041236344844,125,300,8.125021900217554,0.36389013256275093,7.606425702811245,8.953389830508474
48,247.2,52.063636275448744,126,304,8.033232030974093,0.33706730171624877,7.622222222222222,8.757322175732218
49,254.5,53.59363560888343,129,315,7.936178847563371,0.3106107338765724,7.596899224806202,8.564
50,258.5,53.18155486423632,137,325,7.886955467485992,0.2823969911974852,7.470769230769231,8.258064516129032
51,261.5,55.08024449231624,141,319,7.880719365587076,0.30371573966187027,7.579937304075235,8.50214592274678
52,266.7,55.20678299709999,147,336,7.896002030594346,0.3388948016220983,7.404761904761905,8.529661016949152
53,272.1,58.996139233380724,155,352,7.811627358924058,0.3604123709951445,7.355704697986577,8.491071428571429
54,278.0,61.387657101769605,151,356,7.804860804286838,0.2505913109964295,7.55,8.224137931034482
55,283.8,64.60615725730447,155,370,7.7346234876960525,0.32082145191288075,7.281767955801105,8.273858921161827
